PRODUCT_ID,BARCODE,TITLE,TYPE,ONSALEDATE,OFFSALEDATE,PRICE,SEGMENT,SUBSEGMENT,FREQUENCY
561766,33981,Title SIP,SIP,2023-02-13,2023-05-18,15.49,HOBBY,VIDEO GAMES,Quarterly - 04 Issues
575770,41091,Title SIP,SIP,2023-04-17,2023-07-20,15.49,SPORT,BASKETBALL,Quarterly - 04 Issues
645361,33549,Echo of Fame,Weeklies,2023-06-12,2023-06-26,8.49,ENTERTAINMENT,CELEBRITY PROFILE,Weekly - 52 Issues
662752,41091,Title SIP,SIP,2023-08-21,2023-11-23,15.49,SPORT,COMMEMORATIVE,Quarterly - 04 Issues
671033,67307,Title SIP,SIP,2023-10-09,2024-01-11,15.49,ENTERTAINMENT,MOVIE / TELEVISION,Quarterly - 04 Issues
672648,9426,Title SIP,SIP,2023-10-02,2024-01-04,15.49,LIFESTYLE,SOCIAL,Quarterly - 04 Issues
578572,41096,Title SIP,SIP,2023-05-08,2023-08-10,15.49,ENTERTAINMENT,MOVIE / TELEVISION,Quarterly - 04 Issues
565493,57607,Starline Stories,Weeklies,2023-02-27,2023-03-13,8.49,ENTERTAINMENT,CELEBRITY PROFILE,Bi-Weekly - 26 Issues
650938,34013,Title SIP,SIP,2023-07-31,2023-11-02,15.49,ENTERTAINMENT,MOVIE / TELEVISION,Quarterly - 04 Issues
654336,9382,Title SIP,SIP,2023-10-30,2024-02-01,15.49,HEALTH & FITNESS,MINDFULNESS,Quarterly - 04 Issues
638360,67328,Title SIP,SIP,2023-07-17,2023-10-19,15.49,SPORT,OTHER SPORTS,Semi-Annual - 02 Issue
661354,9305,Title SIP,SIP,2023-09-18,2023-12-21,15.49,HOME,DECORATING,Quarterly - 04 Issues
633499,67371,Title SIP,SIP,2023-06-19,2023-09-21,14.49,SPORT,FOOTBALL,Quarterly - 04 Issues
565554,33998,Title SIP,SIP,2023-03-13,2023-06-15,15.49,FOOD,HEALTHY EATING,Quarterly - 04 Issues
578143,34000,Title SIP,SIP,2023-05-01,2023-08-03,15.49,ENTERTAINMENT,MOVIE / TELEVISION,Semi-Annual - 02 Issue
559243,33973,Title SIP,SIP,2023-01-23,2023-04-27,15.49,ENTERTAINMENT,MOVIE / TELEVISION,Quarterly - 04 Issues
649517,33601,Spotlight Lives,Weeklies,2023-09-18,2023-10-02,8.49,ENTERTAINMENT,CELEBRITY PROFILE,Bi-Weekly - 26 Issues
576362,57607,Starline Stories,Weeklies,2023-04-10,2023-04-24,8.49,ENTERTAINMENT,CELEBRITY PROFILE,Bi-Weekly - 26 Issues
579274,67342,Title SIP,SIP,2023-05-08,2023-08-10,8.49,PUZZLES,WORD SEEK,Quarterly - 04 Issues
558330,64194,Title SIP,SIP,2023-01-09,2023-04-13,14.49,HOME,DECORATING,Monthly - 12 Issues
560606,64836,Simply Woman,Weeklies,2023-01-16,2023-02-02,5.99,WOMENS,EVERYDAY LIVING,Weekly - 52 Issues
555193,64363,Title SIP,SIP,2023-01-02,2023-04-06,14.49,HOBBY,ACTIVITY / COLORING,Monthly - 12 Issues
