PRODUCT_ID,BARCODE,TITLE,TYPE,ONSALEDATE,OFFSALEDATE,PRICE,SEGMENT,SUBSEGMENT,FREQUENCY
740087,64799,Title SIP,SIP,2024-07-08,2024-10-10,15.49,HOBBY,ANIMAL,Quarterly - 04 Issues
726056,34000,Title SIP,SIP,2024-07-08,2024-08-29,16.490000000000002,SPORT,FOOTBALL,Semi-Annual - 02 Issue
701703,33704,Title SIP,SIP,2024-07-01,2024-07-25,7.49,PUZZLES,WORD SEEK,Quarterly - 04 Issues
712417,67321,Title SIP,SIP,2024-07-08,2024-08-29,16.490000000000002,SPORT,FOOTBALL,Semi-Annual - 02 Issue
861106,33583,Fame & Faces,Weeklies,2024-07-22,2024-08-05,8.49,ENTERTAINMENT,CELEBRITY PROFILE,Bi-Weekly - 26 Issues
722230,67345,Title SIP,SIP,2024-07-22,2024-10-24,9.49,PUZZLES,XWORD,Quarterly - 04 Issues
711808,33696,Title SIP,SIP,2024-07-08,2024-08-01,8.49,PUZZLES,SUDOKU,Quarterly - 04 Issues
696936,41152,Title SIP,SIP,2024-07-15,2024-10-17,15.49,FOOD,EVERYDAY EATING,Quarterly - 04 Issues
729104,41314,Title SIP,SIP,2024-07-22,2024-09-12,16.490000000000002,SPORT,FOOTBALL,Quarterly - 04 Issues
701777,64463,Title SIP,SIP,2024-07-01,2024-10-03,11.49,PUZZLES,XWORD,Annual - 01 Issue
704419,67345,Title SIP,SIP,2024-07-22,2024-10-24,11.49,PUZZLES,XWORD,Quarterly - 04 Issues
707178,64476,Title SIP,SIP,2024-07-08,2024-10-10,14.49,FOOD,EVERYDAY EATING,Quarterly - 04 Issues
713647,67369,Title SIP,SIP,2024-07-15,2024-10-17,14.49,FOOD,EVERYDAY EATING,Quarterly - 04 Issues
718193,41307,Title SIP,SIP,2024-07-22,2024-10-24,15.49,OUTDOORS,OTHER SPORTS,Quarterly - 04 Issues
734628,64803,Simply Woman,Weeklies,2024-07-15,2024-08-01,4.99,WOMENS,EVERYDAY LIVING,Weekly - 52 Issues
714968,57799,Title SIP,SIP,2024-07-01,2024-10-03,14.49,FOOD,EVERYDAY EATING,Quarterly - 04 Issues
726599,34022,Title SIP,SIP,2024-07-08,2024-08-29,16.490000000000002,SPORT,FOOTBALL,Semi-Annual - 02 Issue
703218,41313,Title SIP,SIP,2024-07-22,2024-09-12,16.490000000000002,SPORT,FOOTBALL,Quarterly - 04 Issues
716733,34018,Title SIP,SIP,2024-07-01,2024-10-03,15.49,FOOD,SPIRITS,Quarterly - 04 Issues
732403,64803,Simply Woman,Weeklies,2024-07-15,2024-08-01,4.99,WOMENS,EVERYDAY LIVING,Weekly - 52 Issues
714860,64470,Title SIP,SIP,2024-07-22,2024-09-12,16.490000000000002,SPORT,FOOTBALL,Semi-Annual - 02 Issue
732528,9301,Title SIP,SIP,2024-07-22,2024-10-24,15.49,ENTERTAINMENT,CELEBRITY PROFILE,Quarterly - 04 Issues
702258,9424,Title SIP,SIP,2024-07-01,2024-10-03,16.490000000000002,FAMILY,CHILDREN,Quarterly - 04 Issues
745645,33549,Echo of Fame,Weeklies,2024-07-08,2024-07-22,8.49,ENTERTAINMENT,CELEBRITY PROFILE,Weekly - 52 Issues
719351,57983,Fame & Faces,Weeklies,2024-07-01,2024-07-15,8.49,ENTERTAINMENT,CELEBRITY PROFILE,Bi-Weekly - 26 Issues
716492,64449,Simply Woman,Weeklies,2024-07-08,2024-07-25,4.99,WOMENS,EVERYDAY LIVING,Weekly - 52 Issues
701103,67343,Title SIP,SIP,2024-07-08,2024-10-10,11.49,PUZZLES,SUDOKU,Quarterly - 04 Issues
715418,34014,Title SIP,SIP,2024-07-22,2024-10-24,16.490000000000002,ENTERTAINMENT,CELEBRITY PROFILE,Quarterly - 04 Issues
723174,33704,Title SIP,SIP,2024-07-01,2024-07-25,7.49,PUZZLES,WORD SEEK,Quarterly - 04 Issues
